Date,Open,High,Low,Close,Volume
2023-01-03,340.16,345.82,331.92,336.92,2229104
2023-01-04,342.89,345.6292,336.73,341.41,2186849
2023-01-05,337.53,337.55,328.16,328.44,2081625
2023-01-06,332.28,334.88,322.44,332.75,2216579
2023-01-09,338.9,349.455,338.42,341.98,3133817
2023-01-10,337.65,344.63,336.8,338.7,1670248
2023-01-11,337.39,343.19,333.47,342.93,2344403
2023-01-12,344.165,346.44,337.37,344.54,2121831
2023-01-13,340.25,344.65,335.5,344.38,2582132
2023-01-17,344.38,350.786,341.97,344.38,2512729
2023-01-18,345.01,349.24,338.4,341.31,2080033
2023-01-19,340.56,346.73,340.01,342.53,2466965
2023-01-20,343.27,357.42,342.76,356.38,3149369
2023-01-23,358.28,365.87,356.85,364.98,3187260
2023-01-24,364.1,364.45,358.0,361.32,2466393
2023-01-25,355.665,359.73,350.57,358.17,2239126
2023-01-26,362.76,367.43,360.7201,365.82,2350520
2023-01-27,363.49,373.42,362.85,370.71,2615582
2023-01-30,365.9,368.7,362.83,363.42,2663620
2023-01-31,364.71,370.7,364.01,370.34,2572359
2023-02-01,370.01,386.72,366.8,383.92,3361966
2023-02-02,393.28,402.49,388.8822,392.23,4020009
2023-02-03,384.29,386.715,377.92,379.33,2695428
2023-02-06,376.21,379.29,373.39,375.23,2369777
2023-02-07,373.43,384.94,372.7556,383.82,2476197
2023-02-08,382.49,387.28,375.7,378.36,2668061
2023-02-09,384.97,386.51,374.02,375.81,2265158
2023-02-10,371.63,374.52,367.08,370.99,1846426
2023-02-13,373.41,376.31,371.03,375.0,1877255
2023-02-14,375.0,380.56,369.96,377.9,2479706
2023-02-15,375.6,381.67,374.84,375.94,2089245
2023-02-16,366.04,373.49,363.55,365.16,2917042
2023-02-17,359.31,359.61,352.12,356.85,2985940
2023-02-21,350.78,353.25,345.69,346.7,3002659
2023-02-22,346.69,353.1724,344.45,348.72,2599304
2023-02-23,350.44,353.8,343.9275,347.02,3154508
2023-02-24,328.12,329.76,318.6,320.54,8444481
2023-02-27,322.02,325.1,320.7,322.32,3500550
2023-02-28,323.37,325.73,320.97,323.95,2714154
2023-03-01,323.8,325.26,321.0,323.38,2377736
2023-03-02,323.38,334.46,321.56,333.5,3846745
2023-03-03,334.69,344.76,334.4835,344.04,3725472
2023-03-06,344.33,351.775,344.28,347.02,3060306
2023-03-07,347.86,352.165,344.06,344.8,2252817
2023-03-08,346.74,348.69,343.4701,345.84,2518851
2023-03-09,344.72,350.13,336.99,338.37,3798302
2023-03-10,338.34,338.52,328.445,329.3,4148249
2023-03-13,329.42,333.0,323.29,324.27,4203455
2023-03-14,332.21,335.17,328.695,333.33,3850920
2023-03-15,330.0,334.28,328.1725,333.61,4627109
2023-03-16,344.57,355.49,340.53,353.29,6948578
2023-03-17,354.78,360.63,350.835,358.14,6725352
2023-03-20,357.61,364.9399,355.35,362.88,3946758
2023-03-21,364.63,376.4,362.92,374.22,4479191
2023-03-22,375.0,377.3299,361.52,361.71,3878428
2023-03-23,368.99,375.2499,365.49,369.0,3138588
2023-03-24,370.23,375.23,367.72,374.96,2995521
2023-03-27,376.51,380.35,369.68,373.15,2832190
2023-03-28,373.42,374.0,367.82,373.4,1780809
2023-03-29,376.68,380.12,375.56,379.16,2497612
2023-03-30,381.65,382.58,378.08,381.9,2138955
2023-03-31,382.29,385.73,380.26,385.37,3063428
2023-04-03,380.88,383.73,378.15,380.08,2712644
2023-04-04,382.24,385.7,381.0502,385.15,2569950
2023-04-05,384.09,386.0,377.255,382.02,2277403
2023-04-06,379.31,382.46,375.99,380.6,1836025
2023-04-10,375.48,376.67,372.26,376.25,1689674
2023-04-11,374.01,375.9,368.35,371.11,2161051
2023-04-12,376.42,378.23,368.75,369.89,1978197
2023-04-13,373.2,379.02,372.73,378.8,2434809
2023-04-14,376.37,380.57,375.14,379.38,1525633
2023-04-17,379.61,380.76,374.62,377.92,1614322
2023-04-18,380.9,380.9,374.4875,377.55,1586650
2023-04-19,377.9,382.84,375.6,380.11,1775191
2023-04-20,376.04,382.995,375.67,380.26,1947863
2023-04-21,379.97,380.44,375.44,377.67,1841641
2023-04-24,376.59,378.95,373.57,377.34,1531057
2023-04-25,373.63,375.23,368.88,369.59,2413128
2023-04-26,368.6,369.45,357.25,363.06,2803239
2023-04-27,365.94,373.8199,363.5,371.42,2338835
2023-04-28,371.42,377.69,368.56,377.56,2061740
2023-05-01,376.51,378.72,373.71,374.15,1867950
2023-05-02,374.355,375.845,367.84,368.66,2287616
2023-05-03,363.49,365.96,344.235,345.25,6700789
2023-05-04,347.97,348.0,332.84,335.83,6614890
2023-05-05,338.98,349.55,338.03,348.4,4260906
2023-05-08,348.0,350.48,340.76,344.06,3135894
2023-05-09,342.5,345.0,341.23,342.65,1879635
2023-05-10,348.25,351.995,341.8318,344.02,3386325
2023-05-11,341.88,344.66,339.37,341.58,2183379
2023-05-12,340.51,340.79,331.89,335.45,4278675
2023-05-15,337.35,345.89,333.01,345.67,3330491
2023-05-16,344.2,347.065,341.17,345.11,2558537
2023-05-17,345.36,358.69,345.12,356.63,3560559
2023-05-18,357.0,361.48,356.45,360.43,2896438
2023-05-19,363.0,372.08,361.36,371.25,3856887
2023-05-22,371.25,374.4025,369.66,372.05,2627139
2023-05-23,371.81,376.49,369.92,370.42,2967666
2023-05-24,368.375,369.06,361.72,365.76,2666564
2023-05-25,375.49,397.6515,374.09,392.06,7029991
2023-05-26,396.72,416.36,396.57,415.39,7833550
2023-05-30,429.94,432.99,416.08,417.21,5332305
2023-05-31,413.9,421.36,410.701,417.79,5158453
2023-06-01,412.29,430.6,412.29,426.75,4443071
2023-06-02,432.0,438.5308,430.36,436.37,4334768
2023-06-05,433.01,440.3799,426.96,434.18,3447429
2023-06-06,432.55,437.12,431.24,432.89,2342000
2023-06-07,434.56,436.81,417.7425,418.32,4772958
2023-06-08,424.15,440.6275,423.5841,439.03,6065556
2023-06-09,456.9099,466.59,453.09,454.0,7933961
2023-06-12,463.705,478.04,459.42,474.63,6930639
2023-06-13,489.71,491.51,470.36,478.99,7412478
2023-06-14,476.15,483.85,473.2,479.53,5150116
2023-06-15,475.47,495.1999,474.25,490.91,9682234
2023-06-16,518.23,518.74,494.62,495.18,13343819
2023-06-20,485.63,492.6883,480.0,485.86,5336284
2023-06-21,492.0,495.55,475.31,477.48,5258704
2023-06-22,474.12,481.0,473.0201,477.58,3603787
2023-06-23,472.95,487.33,472.32,484.72,4481510
2023-06-26,486.605,487.1563,479.05,479.51,3169505
2023-06-27,480.0,490.8,479.95,489.27,2691749
2023-06-28,482.0,489.75,480.39,482.43,3229236
2023-06-29,484.47,485.83,479.6,483.77,1905381
2023-06-30,482.74,492.81,482.72,488.99,3096582
2023-07-03,486.39,486.61,479.8401,485.21,1491011
2023-07-05,480.99,489.41,479.73,487.26,2190353
2023-07-06,479.99,482.5,475.0,481.29,2102202
2023-07-07,481.98,490.42,479.86,485.27,2325039
2023-07-10,485.27,499.1999,485.11,496.35,3352622
2023-07-11,497.28,506.03,491.76,504.74,2844239
2023-07-12,509.405,510.79,500.01,507.36,3027419
2023-07-13,509.62,519.4099,509.5,517.28,3049373
2023-07-14,517.34,523.785,512.67,514.83,2303710
