Date,Open,High,Low,Close,Volume
2013-01-02,91.32,93.2,91.29,93.2,7528983
2013-01-03,93.2,94.34,92.82,93.62,7174550
2013-01-04,93.74,94.05,93.36,93.85,4142184
2013-01-07,93.88,93.88,93.14,93.45,3987465
2013-01-08,93.38,93.81,92.98,93.81,3657726
2013-01-09,94.08,94.08,93.02,93.32,3505225
2013-01-10,93.78,94.69,93.41,94.65,4683053
2013-01-11,94.72,94.75,94.22,94.39,4269322
2013-01-14,94.55,95.36,94.18,95.36,5144625
2013-01-15,95.11,95.48,94.76,95.36,3625552
2013-01-16,95.2,95.28,94.81,95.03,3811350
2013-01-17,95.44,95.5,94.84,95.3,3950849
2013-01-18,95.5,95.59,94.58,95.16,6390893
2013-01-22,95.16,95.92,94.88,95.91,4293527
2013-01-23,96.0,96.56,95.49,96.48,3682500
2013-01-24,96.59,97.73,96.53,97.31,4837349
2013-01-25,97.71,97.75,96.78,97.39,3808630
2013-01-28,97.42,97.54,96.75,97.12,3603276
2013-01-29,97.31,97.36,96.98,97.24,4329808
2013-01-30,97.32,97.33,96.44,96.88,3950626
2013-01-31,96.5,97.11,96.3,96.93,4426925
2013-02-01,97.56,99.0,97.2,98.0,4352415
2013-02-04,97.76,98.0,96.36,96.51,4225962
2013-02-05,97.17,98.04,97.0,97.91,3340610
2013-02-06,97.35,97.89,97.26,97.83,2904772
2013-02-07,97.8,97.97,97.01,97.11,3540007
2013-02-08,97.25,97.33,96.73,97.25,2995948
2013-02-11,97.46,97.5,97.04,97.13,1765298
2013-02-12,97.07,97.99,97.01,97.7,2385697
2013-02-13,97.72,98.2,97.59,97.97,2450151
2013-02-14,97.99,99.31,97.84,99.21,5013749
2013-02-15,99.64,99.79,99.23,99.77,5200585
2013-02-19,99.98,101.08,99.7,101.02,4291003
2013-02-20,101.14,101.49,100.02,100.22,5386950
2013-02-21,100.09,100.55,99.67,100.17,6168621
2013-02-22,100.5,101.27,100.22,101.21,3448386
2013-02-25,101.74,102.0,98.44,98.58,5836612
2013-02-26,99.05,101.0,98.25,98.72,4406390
2013-02-27,98.58,101.27,98.58,101.21,4319704
2013-02-28,101.44,102.33,101.31,102.16,8876433
2013-03-01,101.45,102.25,100.44,102.05,4813061
2013-03-04,101.85,101.98,100.5,101.95,4314355
2013-03-05,102.48,103.48,102.33,102.66,4450234
2013-03-06,103.29,103.56,102.76,103.24,3316295
2013-03-07,103.25,103.58,103.03,103.41,2619352
2013-03-08,103.98,104.0,103.1,103.63,3509963
2013-03-11,103.77,104.15,103.41,104.07,3268673
2013-03-12,104.09,104.19,102.12,103.01,3768679
2013-03-13,103.06,103.7,102.97,103.65,2876800
2013-03-14,103.81,104.25,103.59,103.99,3178795
2013-03-15,103.67,103.79,102.79,102.79,7255042
2013-03-18,102.35,102.85,101.91,102.12,3585685
2013-03-19,102.37,102.74,101.3,101.77,3343448
2013-03-20,102.18,102.57,101.87,102.34,3284201
2013-03-21,101.94,102.57,101.73,101.96,4422733
2013-03-22,101.99,102.7,101.95,102.57,2427799
2013-03-25,103.0,103.27,101.92,102.4,3238635
2013-03-26,102.89,103.84,102.46,103.82,3473938
2013-03-27,103.21,103.45,102.64,103.16,2358718
2013-03-28,103.32,104.48,102.97,104.2,4532517
2013-04-01,104.17,104.46,103.17,103.47,2417281
2013-04-02,103.96,105.5,103.8,105.14,4082696
2013-04-03,105.53,105.53,104.05,104.24,3895161
2013-04-04,104.66,105.56,104.36,105.13,3836379
2013-04-05,103.91,104.39,103.34,104.15,3681212
2013-04-08,104.5,105.29,103.62,105.26,2500044
2013-04-09,105.38,105.47,104.78,105.12,2666763
2013-04-10,105.27,106.37,104.91,106.33,3108551
2013-04-11,106.38,106.98,106.02,106.73,3546969
2013-04-12,106.5,107.05,106.3,107.04,3082410
2013-04-15,106.84,107.43,104.27,104.52,5595977
2013-04-16,105.29,107.49,105.15,107.16,4429797
2013-04-17,106.42,106.69,104.3,105.17,4493491
2013-04-18,105.02,105.23,102.69,103.0,3965396
2013-04-19,103.46,105.46,103.09,105.28,4167647
2013-04-22,105.55,105.72,104.13,105.02,3108186
2013-04-23,105.42,106.71,105.3,106.68,4082759
2013-04-24,106.72,107.0,106.36,106.75,2443924
2013-04-25,107.02,108.04,106.82,107.47,3580020
2013-04-26,107.54,107.9,106.5,107.1,3869703
2013-04-29,107.19,107.4,106.41,106.61,2574265
2013-04-30,106.6,106.7,105.63,106.32,5047369
2013-05-01,105.97,107.09,105.97,106.12,3134075
2013-05-02,106.49,107.33,106.24,107.3,2568905
2013-05-03,108.25,109.2,108.23,108.64,4452746
2013-05-06,110.95,111.25,109.45,110.0,4929298
2013-05-07,110.49,110.5,109.46,109.9,3679313
2013-05-08,109.96,110.98,109.43,110.94,3815138
2013-05-09,110.85,111.34,110.35,110.66,3405160
2013-05-10,111.1,111.88,111.0,111.82,3786667
2013-05-13,111.83,112.34,111.41,111.74,2806866
2013-05-14,112.08,112.73,111.8,112.67,3892538
2013-05-15,112.57,112.98,112.15,112.77,3854805
2013-05-16,112.52,112.53,111.25,111.54,3622021
2013-05-17,111.95,113.1,111.76,113.02,4791302
2013-05-20,112.87,113.55,112.58,113.0,3097756
2013-05-21,113.07,113.34,112.45,112.7,3614672
2013-05-22,112.82,113.45,111.11,111.85,5846208
2013-05-23,110.46,111.72,109.11,111.29,5564634
2013-05-24,110.5,110.83,109.92,110.83,3517021
2013-05-28,112.17,112.5,111.76,112.28,5312506
2013-05-29,111.66,113.46,111.41,113.03,4557204
2013-05-30,113.37,115.0,113.31,114.84,5531240
2013-05-31,114.82,115.0,113.88,114.07,8636993
2013-06-03,114.76,114.76,113.03,114.07,4945704
2013-06-04,113.95,114.0,112.9,113.42,4339589
2013-06-05,112.9,113.16,111.05,111.51,5036908
2013-06-06,111.34,113.17,111.15,113.1,4550242
2013-06-07,113.89,115.55,113.53,115.31,4726105
2013-06-10,115.56,115.98,114.8,115.15,3126865
2013-06-11,114.41,114.43,113.26,113.51,4064842
2013-06-12,114.01,114.35,112.66,112.95,3941641
2013-06-13,112.89,115.14,112.27,114.99,4021230
2013-06-14,114.94,115.08,113.94,114.16,2978558
2013-06-17,114.75,115.57,113.83,114.92,3509474
2013-06-18,115.01,115.59,114.84,115.17,2992216
2013-06-19,115.14,115.66,113.81,113.84,3471617
2013-06-20,113.2,113.91,110.86,111.41,6302362
2013-06-21,112.63,113.13,111.25,112.38,7189388
2013-06-24,111.75,112.74,109.53,110.71,5193356
2013-06-25,111.81,112.31,110.88,112.07,4148010
2013-06-26,112.98,113.5,112.27,112.91,3763395
2013-06-27,113.63,113.7,112.95,113.0,3209307
