Date,Open,High,Low,Close,Volume
2023-01-03,34.94,35.59,34.74,35.57,23175283
2023-01-04,36.25,36.97,36.03,36.59,24067657
2023-01-05,36.9,37.145,36.21,36.98,26969622
2023-01-06,37.56,38.0,37.17,37.89,18780133
2023-01-09,37.99,38.0,37.42,37.55,22849911
2023-01-10,37.402,37.93,37.34,37.88,15756986
2023-01-11,38.06,38.1,37.43,37.95,13346974
2023-01-12,37.86,38.73,37.71,38.69,20376680
2023-01-13,38.7,39.055,38.47,38.93,14155746
2023-01-17,38.99,39.04,38.435,38.94,18354263
2023-01-18,38.865,39.14,38.17,38.28,18201810
2023-01-19,38.24,38.3681,37.77,38.14,16010326
2023-01-20,38.24,39.45,37.97,39.37,22598073
2023-01-23,39.25,40.415,39.25,40.26,30350501
2023-01-24,40.19,40.44,39.6516,39.75,24189338
2023-01-25,40.31,40.31,39.555,40.1,24544369
2023-01-26,39.05,40.74,39.0132,40.41,22311117
2023-01-27,40.18,40.39,39.53,39.6,20776744
2023-01-30,39.11,39.515,38.94,39.24,19014670
2023-01-31,39.25,39.4189,39.08,39.35,26005940
2023-02-01,39.095,40.295,38.68,39.97,17815055
2023-02-02,39.85,41.15,39.73,41.11,21445689
2023-02-03,40.81,40.86,39.8,39.97,20404518
2023-02-06,39.55,39.79,39.26,39.51,14255633
2023-02-07,39.33,39.89,39.015,39.67,17929025
2023-02-08,39.23,39.4,38.53,38.76,19689213
2023-02-09,39.32,39.425,37.87,37.9,20396128
2023-02-10,37.9,38.38,37.88,38.36,16100141
2023-02-13,38.17,39.255,38.17,39.09,18378869
2023-02-14,38.9,39.27,38.53,39.06,18006832
2023-02-15,39.2,39.52,38.72,39.42,16747861
2023-02-16,38.85,39.99,38.8,39.72,23909515
2023-02-17,39.71,39.8,38.965,39.12,13992876
2023-02-21,38.47,38.7,37.79,37.84,18765141
2023-02-22,37.7,38.26,37.58,38.01,16612065
2023-02-23,38.035,38.14,37.435,37.69,17699181
2023-02-24,37.01,37.3,36.89,37.0,18159209
2023-02-27,37.25,37.57,37.12,37.35,17514596
2023-02-28,37.015,37.4,36.82,37.17,24474367
2023-03-01,36.88,37.08,36.34,36.63,17280424
2023-03-02,36.4,37.025,36.385,36.95,13626890
2023-03-03,37.24,37.39,37.0,37.23,16776905
2023-03-06,37.62,37.625,37.015,37.08,12422130
2023-03-07,37.07,37.21,35.935,36.19,20070087
2023-03-08,36.45,36.47,35.61,35.9,17450058
2023-03-09,36.0,36.13,35.325,35.47,14273827
2023-03-10,35.24,35.58,34.99,35.31,20414482
2023-03-13,35.3,35.95,34.94,35.51,22182130
2023-03-14,35.98,36.01,34.93,35.28,27424270
2023-03-15,35.03,35.9876,34.63,35.89,22670163
2023-03-16,35.41,36.305,35.41,36.24,22245189
2023-03-17,35.87,36.21,35.63,36.03,51723725
2023-03-20,36.19,36.54,36.16,36.43,16516473
2023-03-21,36.77,37.085,36.665,36.99,17058185
2023-03-22,37.1,37.26,36.17,36.2,16159230
2023-03-23,36.11,36.48,35.635,35.97,20322970
2023-03-24,35.7,36.13,35.28,35.92,20371184
2023-03-27,36.18,36.615,36.17,36.4,16333786
2023-03-28,36.41,36.79,36.35,36.45,11818084
2023-03-29,36.83,36.995,36.725,36.95,14579802
2023-03-30,37.39,37.4,36.97,37.15,14922313
2023-03-31,37.28,37.95,37.205,37.91,15858425
2023-04-03,38.0,38.35,37.82,38.01,19698330
2023-04-04,37.95,38.0376,37.46,37.77,20121032
2023-04-05,37.63,38.1,37.535,37.92,16510585
2023-04-06,38.04,38.0753,37.55,37.69,20359116
2023-04-10,37.53,38.28,37.42,38.23,12432581
2023-04-11,38.33,38.69,38.28,38.38,14214857
2023-04-12,38.7,38.74,37.54,37.64,16207543
2023-04-13,37.89,38.3,37.74,38.05,15539377
2023-04-14,37.985,38.205,37.43,37.96,19679100
