Date,Open,High,Low,Close,Volume
2023-01-03,89.83,91.55,89.02,89.7,20738457
2023-01-04,91.01,91.24,87.8,88.71,27046483
2023-01-05,88.07,88.21,86.56,86.77,23136084
2023-01-06,87.36,88.47,85.57,88.16,26612628
2023-01-09,89.195,90.83,88.58,88.8,22996681
2023-01-10,86.72,89.475,86.7,89.24,22855590
2023-01-11,90.06,92.45,89.74,92.26,25998844
2023-01-12,92.4,92.62,90.57,91.91,22754216
2023-01-13,91.528,92.98,90.93,92.8,18630709
2023-01-17,92.78,92.97,90.84,92.16,22935823
2023-01-18,92.94,93.588,91.4,91.78,19641622
2023-01-19,91.39,94.4,91.38,93.91,28707653
2023-01-20,95.95,99.42,95.91,99.28,53704763
2023-01-23,99.13,101.4,98.75,101.21,31791782
2023-01-24,99.55,101.09,98.7,99.21,27391372
2023-01-25,97.2,97.72,95.262,96.73,31000850
2023-01-26,98.28,99.21,96.82,99.16,24542060
2023-01-27,99.05,101.58,98.97,100.71,29020354
2023-01-30,98.745,99.4088,97.52,97.95,24365142
2023-01-31,97.86,99.91,97.79,99.87,22306778
2023-02-01,99.74,102.1899,98.42,101.43,26392568
2023-02-02,106.79,108.82,106.54,108.8,46622627
2023-02-03,103.51,108.02,103.3,105.22,36823421
2023-02-06,102.685,104.7,102.21,103.47,25573046
2023-02-07,103.63,108.67,103.5475,108.04,33738828
2023-02-08,102.69,103.58,98.455,100.0,73546029
2023-02-09,100.54,100.61,93.86,95.46,97798573
2023-02-10,95.74,97.02,94.53,94.86,49325275
2023-02-13,95.01,95.35,94.05,95.0,43116559
2023-02-14,94.66,95.175,92.65,94.95,42513079
2023-02-15,94.74,97.34,94.36,97.1,37029885
2023-02-16,95.54,97.88,94.97,95.78,35642106
2023-02-17,95.07,95.75,93.45,94.59,31095067
2023-02-21,93.24,93.4149,92.0,92.05,28367198
2023-02-22,91.934,92.36,90.87,91.8,29891135
2023-02-23,92.13,92.13,90.01,91.07,32423720
2023-02-24,89.63,90.13,88.86,89.35,31295619
2023-02-27,90.09,90.4499,89.61,90.1,22724262
2023-02-28,89.54,91.45,89.52,90.3,30546912
2023-03-01,90.16,91.2,89.85,90.51,26323876
2023-03-02,89.86,92.48,89.77,92.31,23344562
2023-03-03,92.74,94.11,92.66,94.02,30242538
2023-03-06,94.36,96.3,94.3,95.58,28288206
2023-03-07,95.42,96.09,93.8443,94.17,24101536
2023-03-08,94.405,96.24,94.405,94.65,25395200
2023-03-09,94.49,95.92,92.355,92.66,24438890
2023-03-10,92.5,93.18,90.8,91.01,32850092
2023-03-13,90.565,93.08,89.94,91.66,31508570
2023-03-14,93.07,94.83,92.78,94.25,32303881
2023-03-15,93.54,97.25,93.04,96.55,38367334
2023-03-16,96.57,101.97,95.87,101.07,54588200
2023-03-17,100.84,103.49,100.75,102.46,76140310
2023-03-20,101.06,102.58,100.79,101.93,26033916
2023-03-21,101.98,105.96,101.86,105.84,33122800
2023-03-22,105.14,107.51,104.21,104.22,32336877
2023-03-23,105.89,107.1009,105.41,106.26,31385817
2023-03-24,105.74,106.16,104.74,106.06,25245010
2023-03-27,105.32,105.4,102.63,103.06,25393417
2023-03-28,103.0,103.0,100.28,101.36,24913480
2023-03-29,102.72,102.82,101.03,101.9,26148300
2023-03-30,101.44,101.61,100.29,101.32,25009829
2023-03-31,101.71,104.19,101.44,104.0,28107953
2023-04-03,102.67,104.95,102.38,104.91,20719861
2023-04-04,104.84,106.1,104.6,105.12,20377231
2023-04-05,106.12,106.54,104.1021,104.95,21864200
2023-04-06,105.77,109.63,104.815,108.9,34684150
2023-04-10,107.39,107.97,105.6,106.95,19741517
2023-04-11,106.92,107.22,105.28,106.12,18721278
2023-04-12,107.39,107.5874,104.97,105.22,22761569
2023-04-13,106.47,108.265,106.44,108.19,21650747
2023-04-14,107.69,109.58,107.59,109.46,20758686
2023-04-17,105.43,106.71,105.32,106.42,29043443
2023-04-18,107.0,107.05,104.78,105.12,17641369
2023-04-19,104.215,105.725,103.8,105.02,16732016
2023-04-20,104.65,106.8875,104.64,105.9,22515331
2023-04-21,106.09,106.64,105.485,105.91,22379018
2023-04-24,106.05,107.32,105.36,106.78,21410908
2023-04-25,106.61,107.44,104.56,104.61,31408119
2023-04-26,105.56,107.02,103.27,104.45,37068168
2023-04-27,105.23,109.15,104.42,108.37,38235220
2023-04-28,107.8,108.29,106.04,108.22,23957872
2023-05-01,107.72,108.68,107.5,107.71,20926259
2023-05-02,107.66,107.73,104.5,105.98,20343116
2023-05-03,106.22,108.13,105.62,106.12,17116333
2023-05-04,106.16,106.3,104.7,105.21,19780637
2023-05-05,105.32,106.44,104.7386,106.215,20710627
2023-05-08,105.795,108.42,105.79,108.24,17266021
2023-05-09,108.78,110.595,107.725,107.94,24782442
2023-05-10,108.55,113.51,108.48,112.28,47533463
2023-05-11,115.86,118.44,114.9301,116.9,57115075
2023-05-12,117.0,118.26,116.55,117.92,31293778
2023-05-15,116.49,118.795,116.48,116.96,22107865
2023-05-16,116.83,121.2,116.83,120.09,32370113
2023-05-17,120.18,122.28,119.46,121.48,26659564
2023-05-18,121.56,123.9,121.49,123.52,27014468
2023-05-19,124.2,126.479,122.72,123.25,30268864
2023-05-22,123.51,127.05,123.45,125.87,29760236
2023-05-23,124.93,125.42,123.05,123.29,24477945
2023-05-24,121.88,122.7499,120.75,121.64,23087925
2023-05-25,125.21,125.98,122.9,124.35,33812730
2023-05-26,124.065,126.0,123.29,125.43,25169036
2023-05-30,126.29,126.38,122.89,124.64,27230726
2023-05-31,123.7,124.9,123.1,123.37,41548759
2023-06-01,123.5,125.04,123.3,124.37,25017674
2023-06-02,124.49,126.745,124.35,125.23,19367453
2023-06-05,124.61,127.99,124.38,126.63,22672516
2023-06-06,126.6,128.88,125.97,127.91,19450128
2023-06-07,127.575,129.55,122.63,122.94,34179348
2023-06-08,122.585,123.73,122.01,122.67,24814996
2023-06-09,122.56,124.285,122.42,122.87,20313676
2023-06-12,123.395,124.75,122.35,124.35,22289632
2023-06-13,125.65,125.86,123.845,124.43,19287650
2023-06-14,123.8,124.79,122.16,124.38,24659620
2023-06-15,123.88,126.16,123.14,125.79,24517071
2023-06-16,126.7,126.7,123.79,124.06,56699200
2023-06-20,123.535,125.175,122.83,123.85,22698028
2023-06-21,123.235,123.41,120.86,121.26,22612002
2023-06-22,120.66,123.935,119.6,123.87,20781888
2023-06-23,122.04,123.44,121.86,123.02,29573123
2023-06-26,121.94,122.72,118.99,119.09,23184961
2023-06-27,117.84,119.895,116.91,119.01,27221714
2023-06-28,117.96,121.27,117.6,121.08,19753145
2023-06-29,120.09,120.91,119.21,120.01,18517458
2023-06-30,121.1,122.03,120.88,120.97,23871764
2023-07-03,120.32,121.02,119.705,120.56,13888262
2023-07-05,120.06,123.37,120.06,122.63,17830347
2023-07-06,120.64,121.1499,119.2499,120.93,17750181
2023-07-07,120.89,121.75,120.09,120.14,20997665
2023-07-10,119.07,119.07,116.64,116.87,32960078
2023-07-11,116.76,118.225,115.83,117.71,18286571
2023-07-12,119.3,120.96,119.0,119.62,22059611
2023-07-13,121.54,125.335,121.06,124.83,31535853
2023-07-14,125.13,127.09,124.9,125.7,20499780
2023-07-17,126.06,127.28,124.5,125.06,20675297
2023-07-18,124.905,124.99,123.3,124.08,21071248
2023-07-19,124.79,125.47,122.47,122.78,22313803
2023-07-20,122.12,124.7,118.685,119.53,27541711
2023-07-21,120.87,121.3,119.07,120.31,56514645
2023-07-24,121.926,123.35,121.38,121.88,22312220
2023-07-25,121.88,123.69,121.53,122.79,31820846
2023-07-26,130.36,131.37,128.71,129.66,46216895
2023-07-27,131.8,133.6,129.18,129.87,35931612
2023-07-28,130.97,134.07,130.92,133.01,26971011
2023-07-31,133.01,133.83,132.13,133.11,18381891
2023-08-01,130.855,132.92,130.75,131.89,22219012
2023-08-02,129.84,130.42,127.85,128.64,22705778
2023-08-03,128.37,129.77,127.775,128.77,15086132
2023-08-04,129.6,131.93,128.315,128.54,20521852
2023-08-07,129.51,132.06,129.43,131.94,17621041
2023-08-08,130.98,131.94,130.13,131.84,16835952
2023-08-09,132.19,132.47,129.505,130.15,17745218
2023-08-10,131.97,132.647,130.035,130.21,17855681
2023-08-11,129.202,130.44,128.75,130.17,15205465
2023-08-14,129.85,131.91,129.59,131.83,17526195
2023-08-15,131.59,131.99,129.819,130.27,14769173
2023-08-16,129.28,130.8975,128.46,129.11,17548355
2023-08-17,130.45,132.4913,129.85,130.46,23665562
2023-08-18,129.06,129.83,127.0,128.11,23627202
2023-08-21,127.85,129.26,127.16,128.93,21851070
2023-08-22,129.13,130.95,128.925,129.69,15569373
2023-08-23,130.85,134.07,130.51,133.21,26497027
2023-08-24,134.7272,134.97,130.3,130.42,18680381
2023-08-25,130.14,131.4,128.04,130.69,20678096
2023-08-28,132.08,133.24,130.85,131.79,16715467
2023-08-29,132.9981,137.295,132.98,135.49,30803265
2023-08-30,135.57,137.25,135.021,136.93,21773356
2023-08-31,137.05,138.4,136.82,137.35,28147850
2023-09-01,138.43,138.58,135.94,136.8,16671647
2023-09-05,136.44,137.37,135.56,136.71,17730218
2023-09-06,137.015,137.48,134.69,135.37,15814327
2023-09-07,134.6,136.58,133.9601,136.2,16975956
2023-09-08,135.87,137.515,135.87,137.2,17820005
2023-09-11,137.38,138.2638,136.55,137.74,17180755
2023-09-12,137.13,137.64,135.93,136.07,15212934
2023-09-13,135.9,137.7,134.93,137.5,16394915
2023-09-14,138.39,139.55,137.06,138.99,19064607
2023-09-15,138.8,139.36,137.18,138.3,48958837
2023-09-18,137.63,139.93,137.63,138.96,16233590
2023-09-19,138.25,139.175,137.5,138.83,15484644
2023-09-20,138.83,138.84,134.52,134.59,21473533
2023-09-21,132.39,133.19,131.09,131.36,22058375
2023-09-22,131.68,133.01,130.51,131.25,17355284
2023-09-25,130.77,132.22,130.03,132.17,14650032
2023-09-26,130.914,131.405,128.19,129.45,20378789
2023-09-27,129.44,131.72,129.38,131.46,18764201
2023-09-28,130.69,134.1799,130.69,133.13,18201389
2023-09-29,134.08,134.89,131.32,131.85,23237336
2023-10-02,132.155,135.36,132.065,135.17,19210394
2023-10-03,134.93,135.24,132.815,133.3,19628736
2023-10-04,133.66,136.57,133.43,136.27,22847987
2023-10-05,136.13,136.5,134.455,135.99,15922944
2023-10-06,134.94,139.1857,134.94,138.73,20826683
2023-10-09,137.99,139.97,136.7,139.5,16599099
2023-10-10,139.51,140.74,138.43,139.2,19554916
2023-10-11,139.85,142.22,139.84,141.7,20146341
2023-10-12,142.16,142.38,139.45,140.29,18173107
2023-10-13,140.65,141.34,137.97,138.58,19447565
2023-10-16,139.73,140.905,139.32,140.49,17345556
2023-10-17,140.03,141.25,138.5287,140.99,17424024
2023-10-18,140.75,141.99,138.705,139.28,18304869
2023-10-19,139.8,141.005,138.6,138.98,21831181
2023-10-20,138.59,139.04,136.245,136.74,24970263
2023-10-23,136.23,139.02,135.11,137.9,20780665
2023-10-24,139.16,140.7099,138.75,140.12,26535198
2023-10-25,129.77,130.1,126.09,126.67,58796067
