Date,Open,High,Low,Close,Volume
2023-01-03,27.045,27.07,26.37,26.73,31307955
2023-01-04,27.41,27.92,27.16,27.68,37665199
2023-01-05,27.435,27.779,27.38,27.56,33552552
2023-01-06,27.93,28.83,27.38,28.73,31788634
2023-01-09,28.84,29.865,28.84,29.31,37493157
2023-01-10,29.235,29.51,28.915,29.44,23008080
2023-01-11,29.68,29.88,29.0,29.85,30375377
2023-01-12,29.98,30.38,29.47,30.29,28963879
2023-01-13,29.97,30.17,29.81,30.11,31361937
2023-01-17,30.18,30.2557,29.52,29.6,34759080
2023-01-18,29.8,29.82,28.63,28.81,44199580
2023-01-19,28.61,28.755,28.24,28.42,36886615
2023-01-20,28.42,29.23,28.25,29.22,35158497
2023-01-23,29.325,30.49,29.18,30.27,38795838
2023-01-24,29.94,30.19,29.73,29.92,24855130
2023-01-25,29.52,29.885,29.17,29.7,28268023
2023-01-26,30.06,30.11,29.33,30.09,56088080
2023-01-27,27.07,28.24,26.78,28.16,148548189
2023-01-30,27.715,28.51,27.67,27.95,55145771
2023-01-31,27.78,28.29,27.53,28.26,52621578
2023-02-01,27.89,29.43,27.68,29.07,63330567
2023-02-02,29.25,30.3,28.795,30.19,62230659
2023-02-03,29.62,31.17,29.53,30.32,57603100
2023-02-06,29.55,29.65,28.61,28.69,48726359
2023-02-07,28.65,29.27,28.43,29.05,50780776
2023-02-08,28.95,29.12,28.21,28.24,36479123
2023-02-09,28.68,28.82,27.565,27.73,43906378
2023-02-10,27.63,27.99,27.335,27.8,31232544
2023-02-13,27.87,28.55,27.715,28.55,32347470
2023-02-14,28.38,28.72,27.99,28.64,27928929
2023-02-15,28.36,28.88,28.16,28.85,23387676
2023-02-16,28.5,28.825,28.13,28.2,28972476
2023-02-17,28.0,28.07,27.38,27.61,32086218
2023-02-21,27.11,27.27,26.04,26.06,63668362
2023-02-22,25.91,26.9,25.3,25.47,89195317
2023-02-23,25.78,26.08,25.32,25.61,56473237
2023-02-24,25.22,25.35,24.92,25.14,44089879
2023-02-27,25.55,25.58,24.88,24.9,37656956
2023-02-28,24.94,25.12,24.73,24.93,50255301
2023-03-01,25.03,25.92,24.97,25.33,47823397
2023-03-02,25.211,26.3,25.12,26.2,48381068
2023-03-03,26.2,26.475,26.01,26.4,36744858
2023-03-06,26.47,26.54,25.93,25.99,37879835
2023-03-07,25.84,25.99,25.5,25.53,43164607
2023-03-08,25.56,26.01,25.45,25.98,36071934
2023-03-09,25.98,26.9773,25.97,26.44,54886084
2023-03-10,26.55,27.52,26.315,27.22,65187031
2023-03-13,26.74,27.31,26.61,26.95,50976996
2023-03-14,27.35,28.1,27.25,28.01,47689837
2023-03-15,27.73,28.495,27.66,28.41,49322838
2023-03-16,28.39,30.27,28.39,30.18,75804234
2023-03-17,29.92,31.0,29.44,29.81,80628498
2023-03-20,29.8,29.9,28.63,29.16,38780054
2023-03-21,29.0,29.165,27.975,28.46,55650832
2023-03-22,28.48,29.12,28.1,28.13,37415539
2023-03-23,28.38,29.16,28.22,29.03,43785479
2023-03-24,29.04,29.81,28.925,29.36,55931606
2023-03-27,29.37,29.73,29.08,29.18,34758156
2023-03-28,29.075,29.33,28.63,29.29,37407874
2023-03-29,29.77,31.89,29.755,31.52,85556189
2023-03-30,31.85,32.58,31.81,32.09,70077598
2023-03-31,31.8,32.9,31.73,32.67,59764991
2023-04-03,32.94,33.56,32.54,32.89,57038344
2023-04-04,32.85,33.84,32.84,33.1,55714058
2023-04-05,32.795,32.99,32.335,32.83,39615735
2023-04-06,32.6,33.0,32.46,32.81,28551916
2023-04-10,32.6,32.76,32.2,32.52,30534439
2023-04-11,32.66,33.11,32.32,32.35,27059106
2023-04-12,32.77,32.89,31.96,32.02,37070786
2023-04-13,31.82,32.43,31.65,32.13,29722344
2023-04-14,32.0,32.235,31.69,31.89,24623633
2023-04-17,31.95,32.64,31.77,32.14,29601148
2023-04-18,32.43,32.46,31.78,31.83,26041380
2023-04-19,31.1,31.52,31.08,31.15,25746574
2023-04-20,30.76,31.25,30.71,30.86,30255069
2023-04-21,30.84,30.84,30.225,30.3,28655762
2023-04-24,30.13,30.37,29.61,29.66,38732452
2023-04-25,29.44,29.57,28.87,28.88,38289873
2023-04-26,29.2,29.81,28.835,29.05,41218805
2023-04-27,28.75,29.945,28.51,29.86,60186244
2023-04-28,31.975,32.57,30.81,31.06,80252444
2023-05-01,31.11,31.24,30.28,30.3,36918529
2023-05-02,30.3,30.575,29.75,29.77,33463356
2023-05-03,30.64,31.11,30.245,30.65,45554489
2023-05-04,30.435,31.72,30.38,31.24,46104019
2023-05-05,31.38,31.41,30.73,30.99,35024562
2023-05-08,30.7,30.84,30.39,30.77,30882801
2023-05-09,30.38,30.58,29.91,30.1,30706515
2023-05-10,30.29,30.3959,29.49,29.97,40526521
2023-05-11,29.6,29.68,28.82,28.86,47144359
2023-05-12,29.025,29.1,28.72,28.95,24153820
2023-05-15,28.9,29.825,28.88,29.8,28717475
2023-05-16,29.62,29.9,29.21,29.22,22812040
2023-05-17,29.52,29.56,28.68,28.87,41667261
2023-05-18,29.0,29.76,28.87,29.68,36529193
2023-05-19,29.6,30.24,29.5,29.93,40682998
2023-05-22,29.85,30.45,29.815,30.28,28693438
2023-05-23,30.05,30.195,29.49,29.51,29400851
2023-05-24,29.31,29.49,28.82,29.0,28045840
2023-05-25,28.29,28.29,26.855,27.4,78009435
2023-05-26,27.44,29.09,27.1,29.0,71910621
2023-05-30,29.7,30.0399,28.995,29.99,54874794
2023-05-31,29.7,32.29,29.67,31.44,136243756
2023-06-01,31.8,31.94,31.02,31.13,52667368
2023-06-02,31.398,31.5899,30.825,31.31,36520957
2023-06-05,31.31,31.4,29.83,29.86,48244128
2023-06-06,29.77,31.45,29.695,30.96,42295293
2023-06-07,31.03,31.37,30.93,31.28,39097992
2023-06-08,31.43,31.85,31.06,31.82,35198952
2023-06-09,31.93,31.99,30.68,31.34,40227073
2023-06-12,31.4,33.3,31.36,33.07,59926114
2023-06-13,33.77,33.95,33.07,33.91,51990041
2023-06-14,33.87,35.6,33.8,35.58,74404291
2023-06-15,35.28,36.42,35.215,35.82,67676296
2023-06-16,36.36,36.795,35.595,36.37,110240279
2023-06-20,36.77,37.11,34.715,35.0,65970238
2023-06-21,34.915,35.05,32.83,32.9,70973521
2023-06-22,32.69,33.24,32.125,32.71,45740308
2023-06-23,32.21,33.45,32.03,33.0,46327140
2023-06-26,33.17,33.99,33.095,33.34,38952369
2023-06-27,33.22,34.23,33.01,34.1,33038923
2023-06-28,33.61,33.81,33.035,33.57,33906877
2023-06-29,33.34,33.34,32.49,32.91,38312970
2023-06-30,33.359,33.56,33.16,33.44,33811252
2023-07-03,33.54,33.89,33.14,33.62,15752979
2023-07-05,33.31,33.33,32.5,32.51,37664722
2023-07-06,31.9,32.04,31.38,31.97,41711442
2023-07-07,32.0,32.41,31.82,31.85,28356250
2023-07-10,31.87,32.83,31.77,32.74,36305658
2023-07-11,32.82,33.36,32.5,33.3,28148832
2023-07-12,33.69,34.08,33.06,33.98,37762215
2023-07-13,34.15,34.3,33.62,33.87,32745752
2023-07-14,33.78,33.87,33.0,33.15,30438659
2023-07-17,33.16,34.6,33.07,34.37,34111173
2023-07-18,34.28,34.7,33.83,34.5,29679514
2023-07-19,34.4,34.835,34.33,34.46,26486676
2023-07-20,33.704,34.205,33.23,33.37,37877996
2023-07-21,33.725,34.25,33.42,34.02,79736956
2023-07-24,33.84,34.46,33.56,33.63,25283783
2023-07-25,33.7,34.34,33.4,34.1,31771091
2023-07-26,33.72,34.525,33.7,34.36,32643239
2023-07-27,34.82,35.03,34.11,34.55,58890821
2023-07-28,36.75,36.99,35.51,36.83,90863013
2023-07-31,36.87,37.19,35.675,35.77,55630700
2023-08-01,35.82,36.02,35.28,35.8,24743393
2023-08-02,35.15,35.18,34.281,34.39,39051971
2023-08-03,34.29,35.03,34.13,34.87,24864381
2023-08-04,34.48,35.56,34.48,35.14,26674897
2023-08-07,35.41,35.55,34.75,35.23,22486870
2023-08-08,34.67,35.1,33.86,35.02,34753598
