Date,Open,High,Low,Close,Volume
1990-01-02,6.10638,6.19224,6.08513,6.19224,4374654.8802757
1990-01-03,6.1703,6.1703,6.08513,6.12752,5936547.1464105
1990-01-04,6.12752,6.14926,5.99189,6.01333,4232563.369943
1990-01-05,5.99189,6.03487,5.83433,5.90613,6744351.4950093
1990-01-08,5.88489,6.03487,5.83433,6.01333,4679538.7363522
1990-01-09,6.03487,6.08513,5.97044,5.97044,5970677.0895873
1990-01-10,5.90613,5.94901,5.79194,5.86334,6335415.4387785
1990-01-11,5.90613,6.01333,5.79194,5.81308,3879011.1991011
1990-01-12,5.7704,5.7704,5.50583,5.70597,7307684.6711493
1990-01-15,5.68445,5.7704,5.5914,5.64157,5957804.1388437
1990-01-16,5.54862,5.70597,5.50583,5.70597,6327583.4871493
1990-01-17,5.70597,5.74885,5.64157,5.70597,3629513.2618942
1990-01-18,5.5914,5.7704,5.57006,5.72731,5552229.4265163
1990-01-19,5.70597,5.72731,5.64157,5.66329,4267243.3696993
1990-01-22,5.64157,5.64157,5.46265,5.50583,4884843.0334816
1990-01-23,5.54862,5.64157,5.50583,5.5914,3497488.4986835
1990-01-24,5.52717,5.61313,5.44131,5.50583,5613762.5581017
1990-01-25,5.5914,5.61313,5.44131,5.48409,3983620.5730177
1990-01-26,5.46265,5.64157,5.39125,5.54862,6501000.7705182
1990-01-29,5.52717,5.61313,5.44131,5.54862,3864462.6601081
1990-01-30,5.52717,5.64157,5.50583,5.54862,5642296.3618825
1990-01-31,5.5914,5.79194,5.5914,5.79194,5016305.5392276
1990-02-01,5.79194,5.92796,5.79194,5.88489,6519463.7602152
1990-02-02,5.86334,5.94901,5.86334,5.90613,5067773.9571718
1990-02-05,5.86334,5.94901,5.86334,5.94901,3993688.3368803
1990-02-06,5.90613,5.92796,5.86334,5.88489,3969633.2747491
1990-02-07,5.90613,6.01333,5.81308,6.01333,5613762.5581017
1990-02-08,5.99189,6.03487,5.88489,5.88489,6256534.6817617
1990-02-09,5.92796,5.94901,5.83433,5.86334,4562057.4284325
1990-02-12,5.83433,5.86334,5.7704,5.7704,2822824.2775609
1990-02-13,5.74885,5.79194,5.70597,5.79194,4577726.4153932
1990-02-14,5.7704,5.79194,5.70597,5.72731,3019180.2420551
1990-02-15,5.74885,5.83433,5.72731,5.83433,3205466.4092057
1990-02-16,5.83433,5.83433,5.72731,5.74885,4590588.1819919
1990-02-20,5.68445,5.72731,5.61313,5.66329,3650206.9801222
1990-02-21,5.54862,5.61313,5.54862,5.54862,5534884.8513061
1990-02-22,5.54862,5.61313,5.50583,5.54862,4166551.496708
1990-02-23,5.48409,5.52717,5.44131,5.46265,5952774.3238742
1990-02-26,5.44131,5.5914,5.44131,5.5914,4982178.646272
1990-02-27,5.54862,5.66329,5.52717,5.61313,4297450.7282486
1990-02-28,5.64157,5.72731,5.5914,5.5914,4709186.8876581
1990-03-01,5.61313,5.64157,5.52717,5.5914,4580522.4516103
1990-03-02,5.61313,5.68445,5.5914,5.64157,4104448.9904747
1990-03-05,5.66329,5.68445,5.64157,5.68445,2765201.5297176
1990-03-06,5.68445,5.70597,5.64157,5.68445,5314472.8079403
1990-03-07,5.68445,5.70597,5.52717,5.52717,4833376.6490182
1990-03-08,5.57006,5.68445,5.52717,5.68445,4257734.8130802
1990-03-09,5.68445,5.72731,5.64157,5.70597,3222252.7939129
