Date,Open,High,Low,Close,Volume
2023-01-03,111.35,111.74,107.13,107.2,8110390
2023-01-04,109.8,112.23,108.81,111.53,7614231
2023-01-05,109.93,110.92,109.13,109.4,7545964
2023-01-06,110.96,115.98,110.05,115.34,10259279
2023-01-09,116.73,118.85,113.54,114.61,10291797
2023-01-10,114.02,116.97,113.7211,116.91,6384775
2023-01-11,117.44,118.5,115.17,118.39,7374382
2023-01-12,119.24,122.38,117.65,121.59,9527629
2023-01-13,119.82,121.42,119.72,120.24,8040401
2023-01-17,119.735,121.32,119.02,120.28,6179477
2023-01-18,121.62,123.99,121.01,122.04,10960424
2023-01-19,121.06,121.1,117.42,117.58,8716170
2023-01-20,118.42,122.96,117.34,122.9,8895014
2023-01-23,126.54,132.06,125.82,131.03,13419475
2023-01-24,130.55,132.97,130.15,130.7,7952417
2023-01-25,128.45,131.54,127.7,131.17,6880304
2023-01-26,134.405,134.85,131.1646,133.96,7413602
2023-01-27,131.49,134.89,131.42,133.4,6581941
2023-01-30,131.05,132.4,130.15,131.63,9854271
2023-01-31,131.325,133.635,131.325,133.21,7125079
2023-02-01,132.68,139.94,132.68,138.46,10500604
2023-02-02,138.46,139.1637,134.801,135.85,17673184
2023-02-03,131.16,138.4,128.57,135.02,13187256
2023-02-06,132.27,134.88,131.86,132.93,6830514
2023-02-07,133.15,137.38,132.33,136.63,7664198
2023-02-08,135.31,136.28,131.76,132.17,7151740
2023-02-09,133.89,135.228,129.92,130.53,5717507
2023-02-10,129.29,129.94,127.6201,128.99,5319227
2023-02-13,129.46,131.43,128.39,130.84,5550427
2023-02-14,129.2,132.88,128.36,132.34,5579884
2023-02-15,130.6,133.33,130.3,133.07,3503851
2023-02-16,130.75,132.59,129.95,130.16,5788436
2023-02-17,129.5,129.81,126.96,127.72,6022526
2023-02-21,125.46,127.616,123.55,123.7,8164373
2023-02-22,124.32,124.97,122.92,123.95,5517829
2023-02-23,126.61,127.23,123.67,126.2,6440201
2023-02-24,124.24,124.71,123.1808,124.34,7357182
2023-02-27,126.5,126.6,123.04,123.42,7787226
