Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TAIL,TAIL,TAIL,TAIL,TAIL,TAIL
Date,,,,,,
2017-04-06,21.697311401367188,25.0,25.260000228881836,24.739999771118164,25.260000228881836,2300
2017-04-07,21.653915405273438,24.950000762939453,25.136999130249023,24.940000534057617,25.06999969482422,5000
2017-04-10,21.672143936157227,24.97100067138672,25.100000381469727,24.969999313354492,25.100000381469727,5500
2017-04-11,21.922962188720703,25.260000228881836,25.31100082397461,25.229999542236328,25.31100082397461,5500
2017-04-12,22.001073837280273,25.350000381469727,25.350000381469727,25.280000686645508,25.280000686645508,3300
2017-04-13,22.124313354492188,25.492000579833984,25.492000579833984,25.319000244140625,25.319000244140625,700
2017-04-17,22.026243209838867,25.378999710083008,25.540000915527344,25.378999710083008,25.540000915527344,7200
2017-04-18,22.018428802490234,25.3700008392334,25.459999084472656,25.360000610351562,25.360000610351562,3700
2017-04-19,22.06182098388672,25.420000076293945,25.56999969482422,25.264999389648438,25.56999969482422,7900
2017-04-20,21.86568260192871,25.194000244140625,25.34000015258789,25.173999786376953,25.34000015258789,4300
2017-04-21,22.018428802490234,25.3700008392334,25.40999984741211,25.26099967956543,25.280000686645508,6600
2017-04-24,21.67127227783203,24.969999313354492,25.020000457763672,24.950000762939453,24.950000762939453,5600
2017-04-25,21.45777130126953,24.724000930786133,24.780000686645508,24.719999313354492,24.75,6400
2017-04-26,21.489013671875,24.760000228881836,24.760000228881836,24.719999313354492,24.75,1500
2017-04-27,21.48033905029297,24.75,24.860000610351562,24.75,24.799999237060547,9500
2017-04-28,21.549762725830078,24.829999923706055,24.829999923706055,24.829999923706055,24.829999923706055,400
2017-05-01,21.51505470275879,24.790000915527344,24.799999237060547,24.719999313354492,24.719999313354492,6500
2017-05-02,21.489013671875,24.760000228881836,24.770000457763672,24.690000534057617,24.770000457763672,1000
2017-05-03,21.489013671875,24.760000228881836,24.809999465942383,24.760000228881836,24.809999465942383,4700
2017-05-04,21.46297836303711,24.729999542236328,24.729999542236328,24.670000076293945,24.690000534057617,3400
2017-05-05,21.38487434387207,24.639999389648438,24.68000030517578,24.625999450683594,24.649999618530273,5000
2017-05-08,21.315439224243164,24.559999465942383,24.6200008392334,24.559999465942383,24.614999771118164,1800
2017-05-09,21.3067569732666,24.549999237060547,24.549999237060547,24.40999984741211,24.40999984741211,4900
2017-05-10,21.280719757080078,24.520000457763672,24.610000610351562,24.520000457763672,24.610000610351562,1500
2017-05-11,21.324111938476562,24.56999969482422,24.639999389648438,24.5,24.540000915527344,14900
2017-05-12,21.47165870666504,24.739999771118164,24.760000228881836,24.670000076293945,24.670000076293945,3500
2017-05-15,21.393543243408203,24.649999618530273,24.690000534057617,24.559999465942383,24.690000534057617,800
2017-05-16,21.402233123779297,24.65999984741211,24.68000030517578,24.58099937438965,24.58099937438965,24100
2017-05-17,21.922962188720703,25.260000228881836,25.270000457763672,24.969999313354492,24.969999313354492,67400
2017-05-18,21.85352897644043,25.18000030517578,25.469999313354492,25.18000030517578,25.469999313354492,3000
2017-05-19,21.714664459228516,25.020000457763672,25.059999465942383,25.010000228881836,25.059999465942383,2000
2017-05-22,21.58448600769043,24.8700008392334,25.020000457763672,24.822999954223633,25.020000457763672,14000
2017-05-23,21.532405853271484,24.809999465942383,24.90999984741211,24.809999465942383,24.90999984741211,3300
2017-05-24,21.541086196899414,24.81999969482422,24.81999969482422,24.760000228881836,24.790000915527344,4300
2017-05-25,21.46297836303711,24.729999542236328,24.739999771118164,24.700000762939453,24.7189998626709,1600
2017-05-26,21.489013671875,24.760000228881836,24.760000228881836,24.722999572753906,24.760000228881836,1500
2017-05-30,21.52372932434082,24.799999237060547,24.829999923706055,24.799999237060547,24.81999969482422,4400
2017-05-31,21.5922908782959,24.878999710083008,24.8799991607666,24.878999710083008,24.8799991607666,8500
2017-06-01,21.46297836303711,24.729999542236328,24.809999465942383,24.700000762939453,24.780000686645508,15000
2017-06-02,21.52372932434082,24.799999237060547,24.829999923706055,24.7549991607666,24.829999923706055,1200
2017-06-05,21.48033905029297,24.75,24.780000686645508,24.739999771118164,24.770000457763672,1900
2017-06-06,21.610519409179688,24.899999618530273,24.899999618530273,24.799999237060547,24.850000381469727,1400
2017-06-07,21.52372932434082,24.799999237060547,24.8799991607666,24.799999237060547,24.850000381469727,15500
2017-06-08,21.47165870666504,24.739999771118164,24.75,24.729999542236328,24.75,1600
2017-06-09,21.50636863708496,24.780000686645508,24.809999465942383,24.549999237060547,24.809999465942383,4900
2017-06-12,21.48033905029297,24.75,24.790000915527344,24.74799919128418,24.780000686645508,1600
2017-06-13,21.428258895874023,24.690000534057617,24.690000534057617,24.649999618530273,24.649999618530273,400
2017-06-14,21.549762725830078,24.829999923706055,24.829999923706055,24.780000686645508,24.809999465942383,1700
2017-06-15,21.541086196899414,24.81999969482422,24.8700008392334,24.809999465942383,24.8700008392334,1700
2017-06-16,21.519392013549805,24.795000076293945,24.829999923706055,24.709999084472656,24.790000915527344,8600
2017-06-19,21.36751365661621,24.6200008392334,24.6299991607666,24.59000015258789,24.6200008392334,2400
2017-06-20,21.39875602722168,24.6560001373291,24.68000030517578,24.597999572753906,24.6200008392334,3500
2017-06-21,21.46297836303711,24.729999542236328,24.729999542236328,24.68000030517578,24.68000030517578,1300
2017-06-22,21.48033905029297,24.75,24.75,24.69700050354004,24.75,1200
2017-06-23,21.44561767578125,24.709999084472656,24.709999084472656,24.68000030517578,24.697999954223633,3700
2017-06-26,21.428258895874023,24.690000534057617,24.690000534057617,24.639999389648438,24.670000076293945,2900
2017-06-27,21.378686904907227,24.579999923706055,24.579999923706055,24.518999099731445,24.518999099731445,1400
2017-06-28,21.268224716186523,24.452999114990234,24.489999771118164,24.450000762939453,24.489999771118164,3700
2017-06-29,21.3351993560791,24.530000686645508,24.6200008392334,24.290000915527344,24.31999969482422,9900
2017-06-30,21.204734802246094,24.3799991607666,24.440000534057617,24.299999237060547,24.43000030517578,25100
2017-07-03,20.995990753173828,24.139999389648438,24.270000457763672,24.139999389648438,24.270000457763672,1100
2017-07-05,21.091665267944336,24.25,24.34000015258789,24.149999618530273,24.15999984741211,5700
2017-07-06,21.10906410217285,24.270000457763672,24.270000457763672,24.270000457763672,24.270000457763672,200
2017-07-07,21.048179626464844,24.200000762939453,24.260000228881836,24.170000076293945,24.25,4000
2017-07-10,20.995990753173828,24.139999389648438,24.260000228881836,24.049999237060547,24.260000228881836,83800
2017-07-11,21.03078269958496,24.18000030517578,24.25,24.1200008392334,24.139999389648438,4000
2017-07-12,20.97598648071289,24.117000579833984,24.158000946044922,24.059999465942383,24.059999465942383,3000
2017-07-13,20.83944320678711,23.959999084472656,24.079999923706055,23.950000762939453,24.079999923706055,5400
