Date,Open,High,Low,Close,Volume
2010-01-04,45.7217,45.8924,45.3423,45.3893,7517220.8624381
2010-01-05,45.493,45.6257,45.1506,45.541,3371884.3535031
2010-01-06,45.5778,46.2817,45.502,45.9682,3207685.0701922
2010-01-07,45.9781,46.0541,45.6347,45.9682,2761346.3659939
2010-01-08,45.9781,46.7449,45.7506,46.7449,3304023.6501191
2010-01-11,47.1762,47.4587,46.8218,47.296,2976937.2434026
2010-01-12,47.1562,47.1842,46.2817,46.5123,3404708.3841146
2010-01-13,46.5034,46.7928,45.9682,46.5323,3024867.139307
2010-01-14,46.6071,46.715,46.122,46.2617,1973607.6939733
2010-01-15,46.1668,46.2517,45.2453,45.6257,5429305.0093749
2010-01-19,45.8464,46.8128,45.6537,46.7928,4177002.6335536
2010-01-20,46.7349,47.1562,46.0541,46.5971,4042666.5070521
2010-01-21,46.5223,46.9945,45.55,45.6447,3142409.6223165
2010-01-22,45.5778,45.8084,44.9379,44.9469,4075454.4783074
2010-01-25,45.2353,45.522,44.9469,45.0039,2578402.2273621
2010-01-26,44.8212,44.8212,44.1732,44.4208,3833151.6311598
2010-01-27,44.2511,44.5076,43.9705,44.3908,2313849.7558028
2010-01-28,44.6205,45.0337,44.1642,44.2411,2729646.1853167
2010-01-29,44.4488,44.8112,44.0862,44.0962,3149424.1687422
2010-02-01,44.0564,44.869,43.9505,44.8301,4243456.0203978
2010-02-02,44.859,45.5778,44.6493,45.484,4181217.5716315
2010-02-03,47.296,47.4767,46.0161,46.2517,6786524.0852988
2010-02-04,46.0261,46.0361,45.1206,45.1606,4428568.7286443
2010-02-05,45.0527,45.1696,43.9805,44.9079,4005244.9085278
2010-02-08,44.859,45.2174,44.5346,44.7063,2789565.8171509
2010-02-09,44.9859,45.8174,44.9379,45.559,3229391.8009636
2010-02-10,45.408,45.6537,44.85,45.0337,2536277.8878027
2010-02-11,44.869,45.3703,44.6305,45.2075,2357034.8414233
2010-02-12,44.7922,45.1986,44.4786,45.1606,2217026.3778649
2010-02-16,45.3992,46.0641,45.2174,46.0641,1753346.1282906
2010-02-17,46.0641,46.6861,46.0261,46.5403,2370394.8328879
2010-02-18,46.4834,47.3149,46.3865,47.1282,2951487.3511299
2010-02-19,47.2482,47.286,46.7349,47.0335,2105799.2904308
2010-02-22,47.2032,47.3619,43.3535,45.9582,20024990.511338
2010-02-23,45.7596,47.7193,45.6347,47.4587,15369902.917066
