Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TMV,TMV,TMV,TMV,TMV,TMV
Date,,,,,,
2010-01-04,752.27490234375,849.75,858.125,842.5,850.25,7552
2010-01-05,736.7822875976562,832.25,845.0,822.875,844.125,7408
2010-01-06,768.8741455078125,868.5,871.75,837.875,841.25,9520
2010-01-07,765.996826171875,865.25,868.75,854.25,868.25,5216
2010-01-08,769.2059936523438,868.875,881.375,856.75,857.5,8800
2010-01-11,779.4974365234375,880.5,883.625,865.625,876.875,6056
2010-01-12,737.8888549804688,833.5,849.125,830.75,839.625,18504
2010-01-13,764.1156005859375,863.125,868.375,835.375,845.25,7200
2010-01-14,732.5771484375,827.5,865.875,826.125,850.875,10344
2010-01-15,720.957763671875,814.375,815.25,804.5,812.125,8304
2010-01-19,723.9454956054688,817.75,830.125,809.375,822.75,6056
2010-01-20,703.251953125,794.375,803.875,791.25,803.375,7648
2010-01-21,690.4151000976562,779.875,799.25,775.0,798.875,7664
2010-01-22,694.1776733398438,784.125,791.75,777.875,784.875,5728
2010-01-25,705.1333618164062,796.5,799.625,787.125,797.75,4800
2010-01-26,705.243896484375,796.625,802.0,783.0,783.125,4704
2010-01-27,703.3624877929688,794.5,800.875,783.375,792.375,7184
2010-01-28,709.0062255859375,800.875,810.25,794.625,808.25,7320
2010-01-29,688.6446533203125,777.875,804.375,776.25,803.0,6664
2010-02-01,709.116943359375,801.0,802.5,783.625,783.625,5184
2010-02-02,703.3624877929688,794.5,802.75,793.0,798.625,3440
2010-02-03,728.9254150390625,823.375,823.5,804.75,808.25,7976
2010-02-04,690.1939086914062,779.625,805.25,778.875,803.625,11720
2010-02-05,688.2020263671875,777.375,795.375,764.125,792.375,12176
2010-02-08,683.1115112304688,771.625,783.75,771.625,777.875,6688
2010-02-09,705.9078369140625,797.375,798.5,768.75,780.125,9312
2010-02-10,726.0482788085938,820.125,824.375,785.25,792.375,8064
2010-02-11,738.4421997070312,834.125,848.375,821.5,823.0,11928
2010-02-12,728.3721923828125,822.75,830.0,817.375,819.875,3096
2010-02-16,721.6217041015625,815.125,834.0,813.75,833.875,3664
2010-02-17,748.06982421875,845.0,851.0,824.25,831.625,8128
2010-02-18,757.1439819335938,855.25,870.0,840.125,841.875,11240
2010-02-19,745.413818359375,842.0,857.5,839.375,848.125,14952
2010-02-22,752.4962158203125,850.0,855.375,846.875,850.375,5784
2010-02-23,717.8591918945312,810.875,845.75,809.25,845.125,9744
2010-02-24,713.87548828125,806.375,818.25,800.0,808.375,6824
2010-02-25,699.9319458007812,790.625,798.25,789.75,792.375,6200
2010-02-26,691.4111938476562,781.0,788.75,768.5,783.875,11088
2010-03-01,689.3085327148438,778.625,791.375,774.625,781.375,5008
2010-03-02,692.6284790039062,782.375,795.75,781.0,792.625,5016
2010-03-03,697.608154296875,788.0,797.375,787.625,789.75,4200
2010-03-04,689.0872192382812,778.375,793.5,771.25,791.375,4568
2010-03-05,718.4125366210938,811.5,814.125,793.5,793.5,8496
2010-03-08,727.9293823242188,822.25,824.625,817.5,818.875,7088
2010-03-09,726.7120361328125,820.875,832.25,815.625,817.0,4504
2010-03-10,730.9171142578125,825.625,838.5,824.125,831.0,5640
2010-03-11,723.7242431640625,817.5,833.125,810.5,832.625,5496
2010-03-12,710.2236328125,802.25,821.875,798.75,821.875,8824
2010-03-15,711.3302001953125,803.5,812.0,801.375,803.875,3304
2010-03-16,694.73095703125,784.75,802.125,783.25,802.125,12472
2010-03-17,685.98876953125,774.875,785.25,774.875,777.625,13928
2010-03-18,693.0711669921875,782.875,786.75,773.125,774.5,6024
2010-03-19,690.083251953125,779.5,789.875,772.5,779.5,9576
2010-03-22,686.8740234375,775.875,779.375,773.0,777.625,2976
2010-03-23,697.608154296875,788.0,788.75,780.0,784.75,3208
2010-03-24,736.007568359375,831.375,837.625,806.5,816.5,24424
2010-03-25,750.9468383789062,848.25,859.125,833.375,837.875,14456
2010-03-26,743.864501953125,840.25,854.875,837.625,852.5,6888
2010-03-29,753.4921264648438,851.125,858.75,844.75,845.75,9920
2010-03-30,745.3031616210938,841.875,860.875,841.25,854.25,6544
2010-03-31,730.3639526367188,825.0,840.375,824.5,833.375,9800
2010-04-01,738.1100463867188,833.75,845.125,831.25,837.25,7400
2010-04-05,772.7470703125,872.875,876.25,855.25,860.625,21552
2010-04-06,769.5379638671875,869.25,878.125,861.25,863.5,9208
2010-04-07,737.8888549804688,833.5,878.75,828.625,873.125,11936
2010-04-08,739.327392578125,835.125,841.75,823.25,830.375,7240
2010-04-09,733.0197143554688,828.0,844.25,826.25,839.625,6584
