Date,Open,High,Low,Close,Volume
2023-01-03,167.22,167.65,162.59,163.21,4294135
2023-01-04,165.295,169.69,165.295,169.17,6285339
2023-01-05,167.79,170.04,165.84,166.93,6876953
2023-01-06,169.62,176.16,167.42,175.16,6725941
2023-01-09,177.15,180.38,176.32,176.68,5733948
2023-01-10,176.63,179.62,175.825,178.4,4267839
2023-01-11,178.22,179.05,176.93,178.87,5013866
2023-01-12,179.72,181.17,176.99,178.13,4325138
2023-01-13,177.07,179.11,176.22,179.01,3736703
2023-01-17,178.8,179.815,175.3,175.4,5659395
2023-01-18,176.37,177.32,173.59,173.76,5874261
2023-01-19,173.375,173.73,169.62,170.93,5995727
2023-01-20,172.44,173.59,169.7505,173.0,7569929
2023-01-23,173.65,179.02,172.56,178.17,7847635
2023-01-24,176.75,178.52,175.34,177.04,5351620
2023-01-25,176.63,178.21,171.5,175.04,6720689
2023-01-26,175.27,175.27,171.79,174.1,6287866
2023-01-27,172.53,177.31,171.87,175.24,6074904
2023-01-30,172.34,175.18,172.21,173.13,5048954
2023-01-31,173.17,177.3,172.98,177.21,5852445
2023-02-01,177.0,183.69,176.76,182.1,7835838
2023-02-02,183.87,185.45,175.75,184.72,11667107
2023-02-03,181.69,185.2444,181.585,182.29,5732193
2023-02-06,180.51,182.58,179.44,181.0,4385743
2023-02-07,181.07,184.27,179.37,183.49,4799857
2023-02-08,181.79,182.59,176.47,176.5,5657703
2023-02-09,179.215,180.5,174.57,174.99,5572007
2023-02-10,173.86,176.14,173.11,175.79,5466363
2023-02-13,176.52,177.8,175.685,176.71,3443194
2023-02-14,175.16,177.645,173.37,176.34,4179180
2023-02-15,174.83,178.71,174.77,178.5,3879696
2023-02-16,176.91,178.3199,175.42,176.08,4212375
2023-02-17,175.18,177.09,174.48,175.32,4060826
2023-02-21,173.55,174.91,170.59,170.76,7030305
2023-02-22,171.02,171.94,168.76,169.8,4577366
2023-02-23,172.75,173.02,168.485,171.82,4856743
2023-02-24,169.35,170.13,167.8,169.14,4118305
2023-02-27,171.39,172.02,170.38,170.74,3310192
2023-02-28,169.95,172.57,169.355,171.45,3674501
2023-03-01,171.04,172.43,169.81,172.17,4649847
2023-03-02,171.13,174.92,170.11,174.08,4551116
2023-03-03,175.0,175.95,172.5,175.68,4379301
2023-03-06,175.29,176.5,172.8,173.05,4090107
2023-03-07,172.77,174.0,171.15,172.06,3844102
2023-03-08,173.605,176.36,173.045,176.22,3805624
2023-03-09,176.36,177.91,172.98,173.44,4651329
2023-03-10,175.0,175.27,170.98,171.64,5929653
2023-03-13,170.18,175.83,169.91,173.89,5453565
2023-03-14,175.95,176.2,172.83,175.73,5034839
2023-03-15,174.23,175.125,171.88,174.39,4918346
2023-03-16,173.46,177.68,172.8,177.13,5028811
2023-03-17,177.88,179.09,174.61,175.71,12963340
2023-03-20,175.88,179.87,175.52,179.16,4964600
2023-03-21,179.18,180.66,176.246,178.41,4217471
2023-03-22,177.37,181.48,176.26,176.32,4738006
2023-03-23,178.14,181.89,177.35,180.28,5083351
2023-03-24,179.83,180.49,177.655,179.51,5345460
2023-03-27,179.63,179.81,176.41,177.05,4453284
2023-03-28,176.37,177.59,174.25,177.49,4061636
2023-03-29,179.43,181.872,178.96,181.04,5227056
2023-03-30,182.0,184.49,181.86,184.24,5535754
2023-03-31,184.02,186.3,183.12,186.01,4793263
2023-04-03,185.33,186.18,182.72,184.16,4143112
2023-04-04,184.26,184.67,179.785,180.4,4724858
2023-04-05,179.49,179.73,175.12,177.2,5904915
2023-04-06,175.97,179.23,174.57,178.12,3743004
2023-04-10,176.95,179.73,176.205,179.42,3488605
2023-04-11,180.74,181.38,179.5,179.87,3296864
2023-04-12,181.2,181.2,177.22,177.55,3559513
2023-04-13,176.61,179.88,175.45,179.11,3264278
2023-04-14,178.91,180.54,177.25,178.98,2741962
2023-04-17,178.28,180.55,177.78,180.05,2845828
2023-04-18,181.01,181.73,179.2,180.32,2774688
2023-04-19,179.13,179.4638,176.96,177.08,3093937
2023-04-20,174.42,178.31,173.53,176.62,4710817
2023-04-21,175.6,177.56,174.86,177.02,6791989
2023-04-24,177.14,177.43,175.3401,175.9,3360148
2023-04-25,175.59,176.04,169.34,169.39,7135959
2023-04-26,170.97,170.97,163.655,164.46,8647518
2023-04-27,162.73,165.61,161.1,165.27,6697905
2023-04-28,164.85,167.52,164.85,167.2,6575445
2023-05-01,168.21,168.3,166.12,166.68,4831344
2023-05-02,166.34,167.4883,162.79,163.94,7312375
2023-05-03,164.92,165.99,163.27,163.35,4398787
2023-05-04,163.39,163.87,161.36,162.3,4308975
2023-05-05,161.46,166.01,161.21,165.82,5494735
2023-05-08,165.82,166.6,163.39,164.22,3831469
2023-05-09,162.23,163.49,162.01,163.0,5736844
2023-05-10,164.81,165.0,161.035,163.05,4428851
2023-05-11,162.27,162.42,159.94,161.17,3320551
2023-05-12,162.11,162.96,160.37,161.88,2400809
2023-05-15,161.39,165.48,160.63,165.26,3789239
