Date,Open,High,Low,Close,Volume
2013-01-02,26.3004,26.326,26.0765,26.3094,40558512.101815
2013-01-03,26.2698,26.3004,25.9778,26.0913,33806429.416488
2013-01-04,25.963,26.3004,25.8574,26.2264,41869783.886465
2013-01-07,26.2264,26.2481,25.8742,26.0991,37484235.795381
2013-01-08,26.031,26.1159,25.8426,26.0517,26836202.220435
2013-01-09,26.1534,26.3834,26.0123,26.0488,32760743.940025
2013-01-10,26.2906,26.5709,26.1879,26.5709,49968403.533981
2013-01-11,26.2185,26.406,25.9176,26.3458,58802564.59528
2013-01-14,26.2639,26.3182,25.9096,26.0991,30837056.879562
2013-01-15,25.9945,26.4238,25.9698,26.3538,33091243.509063
2013-01-16,26.2481,26.4889,26.2047,26.339,22381558.702187
2013-01-17,26.4149,26.4376,26.2185,26.2926,30528624.394032
2013-01-18,26.263,26.332,25.9008,26.2166,41832815.238713
2013-01-22,26.1209,26.3094,26.0517,26.3004,27861088.335721
2013-01-23,26.2906,26.3596,26.1702,26.2314,24229800.576796
2013-01-24,26.3182,26.6192,26.1811,26.3902,29431247.058193
2013-01-25,26.481,26.5017,26.2314,26.3754,25896642.634286
2013-01-28,26.4228,26.4554,26.1534,26.3528,29400755.853395
2013-01-29,26.3458,26.5165,26.3074,26.4721,22444898.203822
2013-01-30,26.4514,26.4889,26.254,26.4376,36790857.549469
2013-01-31,26.3528,26.4514,26.2994,26.332,22169139.715976
2013-02-01,26.5017,26.6458,26.4228,26.557,27795548.813958
2013-02-04,26.406,26.4554,26.1702,26.2758,29423973.108642
2013-02-05,26.4307,26.5333,26.3458,26.3458,23194734.174913
2013-02-06,26.332,26.4445,26.2383,26.4376,31863169.169123
2013-02-07,26.4139,26.4228,26.1189,26.2027,35842239.474181
2013-02-08,26.2235,26.3972,26.2166,26.3676,24374421.245822
2013-02-11,26.4228,26.7534,26.3972,26.6547,32011327.502942
2013-02-12,26.7149,26.8728,26.6251,26.8432,25873643.252981
2013-02-13,26.7978,26.8531,26.4228,26.557,28236073.710183
2013-02-14,26.4721,26.6626,26.3892,26.6202,29494105.210422
2013-02-15,26.6399,26.7306,26.4721,26.5777,27921819.430258
2013-02-19,26.5866,26.6626,26.5165,26.5629,33619349.676379
2013-02-20,26.5245,26.7011,26.5017,26.5333,36431498.296778
2013-02-21,26.5245,26.9745,26.4721,26.8057,50310867.929204
2013-02-22,26.8905,27.086,26.7534,27.079,27146709.068563
2013-02-25,27.0928,27.1777,26.2826,26.2994,35765636.00965
2013-02-26,26.5165,26.5333,26.0951,26.2679,39164384.37719
2013-02-27,26.3252,26.6251,26.1534,26.557,42563780.286352
2013-02-28,26.5097,26.7376,26.4721,26.5165,29239861.520976
2013-03-01,26.4139,26.8905,26.3458,26.7534,27286474.695475
2013-03-04,26.7376,27.1234,26.708,27.1027,22330673.48308
2013-03-05,27.2064,27.4333,27.0711,27.1234,30837900.001048
2013-03-06,27.2813,27.3218,27.0711,27.2517,24461874.83265
2013-03-07,27.3159,27.5794,27.2734,27.531,28449912.423801
2013-03-08,27.5546,27.682,27.3889,27.5942,31804168.905714
2013-03-11,27.6524,28.0767,27.6158,28.0688,25123055.363449
2013-03-12,28.0362,28.1043,27.6909,27.7116,30015333.65475
2013-03-13,27.7727,27.8645,27.6158,27.7975,20927276.488945
2013-03-14,27.9336,27.9928,27.8181,27.9474,28940421.655718
2013-03-15,28.2425,28.877,28.1991,28.877,74161715.799063
2013-03-18,28.5,28.651,28.4378,28.5435,39362073.058209
2013-03-19,28.6648,28.6747,28.2207,28.3372,31384132.266945
2013-03-20,28.4616,28.6057,28.2355,28.3037,25203478.208847
2013-03-21,28.0895,28.2563,28.0461,28.0767,31761033.918727
2013-03-22,28.1753,28.2563,28.0461,28.1211,20697954.538327
2013-03-25,28.2355,28.2721,27.9238,28.129,26859500.545055
2013-03-26,28.2968,28.3086,28.0264,28.1991,24654252.456327
2013-03-27,28.0362,28.0895,27.8181,27.9554,19633540.009816
2013-03-28,27.9928,28.0017,27.8409,27.9602,22457653.456399
2013-04-01,27.9602,28.0362,27.7817,27.9168,14433976.364622
2013-04-02,27.9928,28.0461,27.7975,27.8774,22613592.423354
2013-04-03,27.8705,27.9336,27.6306,27.7195,34761209.77754
2013-04-04,27.7975,28.3293,27.7817,28.2869,31884463.05348
2013-04-05,27.8271,28.1211,27.682,28.0846,32440698.266719
2013-04-08,28.054,28.054,27.682,27.984,26572575.764356
2013-04-09,28.0846,28.4616,27.9554,28.3086,28111294.770359
2013-04-10,28.3876,28.6125,28.1211,28.4024,31175250.945526
2013-04-11,28.4162,28.6569,28.0846,28.354,40420514.800617
2013-04-12,27.9238,28.2869,27.6682,28.129,48510217.830398
2013-04-15,27.984,28.2869,27.6228,27.6454,30547383.847095
2013-04-16,27.7975,28.1428,27.7817,28.0165,26924404.685602
2013-04-17,27.8271,27.8774,27.4017,27.6376,42054018.091559
2013-04-18,27.6603,27.6977,27.3553,27.4195,25560164.198941
2013-04-19,27.5231,27.7649,27.4333,27.7343,23955170.979977
2013-04-22,27.8458,27.8635,27.5202,27.7629,19091786.826812
2013-04-23,27.8537,28.0767,27.7481,28.0688,26251094.149769
2013-04-24,28.1211,28.3106,28.0767,28.2277,22148687.939738
2013-04-25,28.3254,28.5711,28.2217,28.4576,19658827.574192
2013-04-26,28.3964,28.6372,28.3165,28.6372,23565836.326378
2013-04-29,28.6875,28.7102,28.5435,28.6372,21187385.547575
2013-04-30,28.6964,28.7546,28.3796,28.7102,27233671.172313
2013-05-01,28.651,28.6964,28.1931,28.3165,23333732.682877
2013-05-02,28.354,28.4616,28.2563,28.279,17473230.701636
2013-05-03,28.5287,28.6648,28.424,28.5287,21014050.106402
2013-05-06,28.6185,28.7191,28.5287,28.651,18822199.745036
2013-05-07,28.7418,29.1504,28.6569,29.0289,30786911.418488
2013-05-08,29.0576,29.4661,28.9905,29.2914,24600198.438077
2013-05-09,29.2855,29.3428,28.7862,28.8691,36443705.317716
2013-05-10,28.9825,29.0734,28.8138,28.9737,21513245.921706
2013-05-13,28.9825,29.172,28.8208,29.104,16766951.278275
2013-05-14,29.1513,29.553,29.1138,29.5293,28523504.161101
2013-05-15,29.4859,30.003,29.4167,29.9457,33727310.774639
2013-05-16,29.927,30.2783,29.7829,29.9102,30136195.930461
2013-05-17,30.0336,30.4076,29.9664,30.3838,32025043.427596
2013-05-20,30.4026,30.6997,30.3612,30.6276,24857708.209914
2013-05-21,30.7292,31.0855,30.6039,30.9937,30260716.461656
2013-05-22,31.0243,31.3154,30.4678,30.5516,39888032.913857
2013-05-23,30.0158,30.8131,30.0158,30.4836,32462689.34769
2013-05-24,30.1095,30.7065,30.0957,30.6611,22475196.868857
2013-05-28,31.0855,31.2216,30.7855,30.8734,27554877.151029
2013-05-29,30.749,31.1624,30.6365,31.046,29988065.970923
