number,value,params,state,user_attrs
0,1.2581988752212725,"{'volatility_lookback_days': 378, 'vol_percentile_low': 25, 'leverage': 1.5, 'smoothing_lambda': 0.1}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 0.21081843930197236, 'stability_Sortino_CV': 0.16755573658011488, 'stability_Sortino_Worst_10pct': 1.0182369080632774, 'stability_Sortino_Consistency_Ratio': 1.0}}"
1,1.4015077025883982,"{'volatility_lookback_days': 504, 'vol_percentile_low': 40, 'leverage': 1.0, 'smoothing_lambda': 0.1}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 0.3195959882159514, 'stability_Sortino_CV': 0.22803726845432257, 'stability_Sortino_Worst_10pct': 1.0917274794911687, 'stability_Sortino_Consistency_Ratio': 1.0}}"
2,1.3827320415516327,"{'volatility_lookback_days': 504, 'vol_percentile_low': 25, 'leverage': 1.25, 'smoothing_lambda': 0.7000000000000001}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 0.2954647096619777, 'stability_Sortino_CV': 0.21368182755815943, 'stability_Sortino_Worst_10pct': 1.0900559154294538, 'stability_Sortino_Consistency_Ratio': 1.0}}"
3,1.4560149508268447,"{'volatility_lookback_days': 441, 'vol_percentile_low': 30, 'leverage': 0.75, 'smoothing_lambda': 1.0}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 0.4362334363676183, 'stability_Sortino_CV': 0.29960780012587723, 'stability_Sortino_Worst_10pct': 1.0219011904917543, 'stability_Sortino_Consistency_Ratio': 1.0}}"
4,1.4739811964644927,"{'volatility_lookback_days': 504, 'vol_percentile_low': 35, 'leverage': 0.5, 'smoothing_lambda': 0.1}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 0.31860587591587, 'stability_Sortino_CV': 0.21615328382755594, 'stability_Sortino_Worst_10pct': 1.2077819287885057, 'stability_Sortino_Consistency_Ratio': 1.0}}"
5,1.1519304878370877,"{'volatility_lookback_days': 441, 'vol_percentile_low': 30, 'leverage': 1.5, 'smoothing_lambda': 0.4}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 0.4373782864112067, 'stability_Sortino_CV': 0.3796915621466415, 'stability_Sortino_Worst_10pct': 0.6773652221688358, 'stability_Sortino_Consistency_Ratio': 1.0}}"
6,1.2325139062037138,"{'volatility_lookback_days': 504, 'vol_percentile_low': 25, 'leverage': 0.75, 'smoothing_lambda': 0.8}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 0.47181908783794646, 'stability_Sortino_CV': 0.3828103565104625, 'stability_Sortino_Worst_10pct': 0.7766292123692051, 'stability_Sortino_Consistency_Ratio': 1.0}}"
7,1.2281336532533977,"{'volatility_lookback_days': 378, 'vol_percentile_low': 20, 'leverage': 0.75, 'smoothing_lambda': 0.7000000000000001}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 0.6238534473364441, 'stability_Sortino_CV': 0.5079686935406581, 'stability_Sortino_Worst_10pct': 0.6795378720647599, 'stability_Sortino_Consistency_Ratio': 1.0}}"
8,1.1159856156400851,"{'volatility_lookback_days': 252, 'vol_percentile_low': 20, 'leverage': 0.5, 'smoothing_lambda': 0.1}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 0.23508922093834184, 'stability_Sortino_CV': 0.2106561389713827, 'stability_Sortino_Worst_10pct': 0.8804789514375208, 'stability_Sortino_Consistency_Ratio': 1.0}}"
9,1.2565012477782918,"{'volatility_lookback_days': 504, 'vol_percentile_low': 25, 'leverage': 0.75, 'smoothing_lambda': 1.0}",COMPLETE,"{'stability_metrics': {'stability_Sortino_Std': 0.0854071581664117, 'stability_Sortino_CV': 0.06797220322496783, 'stability_Sortino_Worst_10pct': 1.1714910856851142, 'stability_Sortino_Consistency_Ratio': 1.0}}"
